...1,Green.Space.5.mil,Green.Space.12.5.mil,Green.Space.25.mil,Temp.Redux.5.mil,Temp.Redux.12.5.mil,Temp.Redux.25.mil,BlockGroup,AvgReduxinNighttimeAnnualTemp_Celsius,PercentPopIncomeBelow2xPovertyLevel,Percent_GreenSpace,long,lat
120,60.0000636353193,60.0000965521547,60.000721749997,0.630772427858213,0.630772917644195,0.63078222027415,371000000000,0.606078,21.44886364,60,-78.94858209,35.90541503
121,67.5600316325091,67.5600606405018,67.5605005943652,0.743260955469954,0.743261387094319,0.743267933386888,371000000000,0.736309,27.72795217,67.55999756,-78.92628536,35.90655887
122,65.6800354460492,65.6800666546128,65.6805442574629,0.715287556242713,0.715288020610468,0.715295127101052,371000000000,0.675429,29.88764045,65.68000031,-78.92498671,35.91311583
123,63.1300316821355,63.1300542746188,63.1303930086383,0.6773447807027,0.677345116867507,0.677350157059624,371000000000,0.692957,19.58708311,63.13000107,-78.92066611,35.92153273
124,81.5300278489665,81.5300480986725,81.5303514299319,0.951127484232383,0.951127785537839,0.951132298954663,371000000000,0.89939499999999994,15.47518923,81.52999878,-78.94679155,35.91914586
125,65.8500322338563,65.8500606078992,65.8504901262432,0.717817023082552,0.717817445274063,0.717823836291342,371000000000,0.732083,27.06367925,65.84999847,-78.93719692,35.91682012
126,68.0800282730716,68.0800447188262,68.0802944036829,0.750998244368753,0.750998489073323,0.751002204258614,371000000000,0.782725,7.073954984,68.08000183,-78.93140217,35.93614511
127,73.8500303904101,73.8500553316553,73.8504294564998,0.836852978507483,0.836853349620687,0.836858916410509,371000000000,0.863743,22.92490119,73.84999847,-78.94154598,35.92500813
128,68.4100296940798,68.4100456094671,68.4102879132924,0.755908499805388,0.75590873661836,0.75591234197761,371000000000,0.814158,5.628847845,68.41000366,-78.93217396,35.92661731
129,68.5500341892871,68.5500577274964,68.550410420455,0.757991696391769,0.757992046628505,0.757997294522625,371000000000,0.762898,20.98512057,68.55000305,-78.91648173,35.93514892
130,69.9400318656197,69.9400526041455,69.9403634402843,0.778674163837732,0.778674472416582,0.778679097502244,371000000000,0.728674,16.43035863,69.94000244,-78.90302379,35.92940893
131,80.5700337879848,80.5700629178049,80.5705044771141,0.936843254659455,0.93684368809655,0.936850258277345,371000000000,0.947298,27.81954887,80.56999969,-78.89499009,35.92300065
132,60.0000162898155,60.0000875226597,60.0012711638638,0.630771723380891,0.630772783289844,0.630790395276604,371000000000,0.598766,47.90136411,58.49000168,-78.91161586,35.94627425
133,71.9600394057287,71.9600835926522,71.9608203003193,0.808730861701524,0.808731519180758,0.808742481020912,371000000000,0.878351,38.84958474,71.95999908,-78.89235133,35.94508285
134,73.470050739728,73.4701298578905,73.4722767807649,0.831199072109526,0.831200249348056,0.831232194482365,371000000000,0.788143,50.07974482,73.47000122,-78.87721375,35.94039015
135,71.2800337200129,71.280064552532,71.2805353470611,0.798612718558298,0.798613177330699,0.798620182516886,371000000000,0.757434,29.52054795,71.27999878,-78.8983602,35.89438982
136,75.9500338097345,75.9500689715199,75.9506176864484,0.868099974884616,0.868100498074325,0.868108662676928,371000000000,0.863888,33.16725979,75.94999695,-78.9079154,35.90560737
137,79.0700255652608,79.0700413289266,79.0702812062174,0.914523885524235,0.914524120079667,0.914527689333301,371000000000,0.870442,5.128205128,79.06999969,-78.83341244,35.9121195
138,62.8900346563179,62.8900661035808,62.8905481921709,0.673773745471406,0.673774213390887,0.67378138662703,371000000000,0.679444,30.11928429,62.88999939,-78.81342249,35.91422154
139,60.0000503621552,67.4389981230897,93.3107039371939,0.630772230360196,0.741460037625946,1.12641802883894,371000000000,0.255522,72.85499247,31.77000046,-78.90179059,35.99941187
140,60.0000513175238,68.3170283695826,93.6046542883746,0.630772244575602,0.754524686796852,1.13079186245934,371000000000,0.446123,73.11827957,52.09999847,-78.90391404,35.98836063
141,67.4783488280951,94.59477791159,99.9994227348674,0.742045556356738,1.14552440478895,1.22594280585373,371000000000,0.26666,100,49.00999832,-78.89850212,35.98610664
142,62.5700350214913,62.5700666016244,62.5705510861262,0.669012311590823,0.669012781487346,0.669019990373452,371000000000,0.580532,30.24193548,62.56999969,-79.0900113,35.91176594
143,60.5700683073407,60.5703546316965,97.2202692310376,0.639253811153928,0.639258071516566,1.18459039724975,371000000000,0.492382,63.78539493,60.56999969,-79.08111188,35.91107436
144,60.0000489369966,64.6675992300662,93.0641755717855,0.630772209154552,0.700223013736836,1.1227498105542,371000000000,0.29551500000000003,72.19935985,50.43999863,-79.08161311,35.90530426
145,73.5800620952912,73.5802190584611,94.8445246212419,0.832835985838854,0.832838321372004,1.14924051041996,371000000000,0.755946,58.85111372,73.58000183,-79.07538607,35.90596098
146,78.0500413387006,78.0500800229025,78.0506975597726,0.899347032411152,0.899347608012651,0.899356796651187,371000000000,0.752905,35.63714903,78.05000305,-79.09037983,35.90070863
147,84.6300390984237,84.6300878066256,84.6309349263211,0.997254094974769,0.997254819728355,0.997267424444049,371000000000,0.930816,41.02449889,84.62999725,-79.08729273,35.8898653
148,80.4100384200482,80.4100689152176,80.4105336351493,0.934462603925142,0.934463057677949,0.934469972477178,371000000000,0.886934,29.17948718,80.41000366,-79.0893357,35.92108659
149,77.9700891795155,78.3455585902725,99.9975030969661,0.898157384429909,0.903744180722566,1.22591424260569,371000000000,0.909011,71.50621118,77.97000122,-79.07410599,35.92006031
150,65.0100406157212,65.0100796983856,65.0107059732101,0.705318369600772,0.705318951131194,0.705328269786102,371000000000,0.570457,35.91885442,65.01000214,-79.06878779,35.90787356
151,62.9000330041478,62.9000570639502,62.9004181398551,0.673922515866513,0.673922873864291,0.673928246492444,371000000000,0.53505,21.76870748,62.90000153,-79.07513353,35.91233007
152,85.0900225818082,85.0900388679178,85.0902856894,1.00409841822996,1.00409866055909,1.00410233313881,371000000000,0.891951,6.512605042,85.08999634,-79.09523927,35.93695029
153,89.1800254819718,89.1800404898755,89.1802691757838,1.06495560761729,1.06495583092736,1.06495923365884,371000000000,1.139672,2.706843718,89.18000031,-79.08102088,35.93542729
154,93.4300824900759,93.4309555456963,99.9988195913554,1.1281943217607,1.12820731238993,1.22593383138114,371000000000,1.261831,68.65671642,93.43000031,-79.03389837,36.06519345
155,86.6200479937227,86.6201082544885,86.6213072011053,1.02686442806741,1.02686532471734,1.02688316444095,371000000000,1.054908,45.35232384,86.62000275,-79.01295215,36.02695298
156,88.4300322357834,88.4300572848351,88.4304325276773,1.05379608471801,1.05379645743532,1.05380204086038,371000000000,1.118158,23.00985595,88.43000031,-79.07882715,36.03370428
157,80.1700259999468,80.1700444094202,80.1703213363843,0.930891339634636,0.930891613558356,0.930895734092525,371000000000,0.816382,11.7396358,80.16999817,-79.08210287,36.09123666
